running,indoor_temperature,out_door_temperature,date_time
False,20.0,10.0,2022-12-21 11:14:49.144561
False,20.0,10.0,2022-12-21 11:18:55.139458
False,20.0,10.0,2022-12-21 11:19:55.141573
False,20.0,10.0,2022-12-21 11:20:55.139625
False,20.0,10.0,2022-12-21 11:21:55.138289
False,20.0,10.0,2022-12-21 11:22:55.114223
False,20.0,10.0,2022-12-21 11:23:55.142656
False,20.0,10.0,2022-12-21 11:24:55.154482
False,20.0,10.0,2022-12-21 11:25:55.138106
True,20.0,2.0,2022-12-21 11:26:55.175080
False,20.0,10.0,2022-12-21 11:27:55.143301
False,20.0,10.0,2022-12-21 11:28:55.138469
False,19.5,10.0,2022-12-21 11:29:55.142724
False,19.5,10.0,2022-12-21 11:30:55.148672
False,19.5,10.0,2022-12-21 11:31:55.105128
False,19.5,10.0,2022-12-21 11:32:55.157755
False,19.5,10.0,2022-12-21 11:33:55.106280
False,19.5,10.0,2022-12-21 11:34:55.135430
False,19.5,10.0,2022-12-21 11:35:55.123318
False,19.5,10.0,2022-12-21 11:36:55.146188
False,19.5,10.0,2022-12-21 11:37:55.869179
False,19.5,10.0,2022-12-21 11:38:55.147405
False,19.5,10.0,2022-12-21 11:39:55.150017
False,19.5,10.0,2022-12-21 11:40:55.145540
False,19.5,10.0,2022-12-21 11:41:55.136749
False,19.5,10.0,2022-12-21 11:42:55.137925
False,20.0,10.0,2022-12-21 11:43:55.145961
False,20.0,10.0,2022-12-21 11:44:55.138711
False,20.0,10.0,2022-12-21 11:45:55.136985
False,20.0,10.0,2022-12-21 13:04:28.691244
False,20.0,10.0,2022-12-21 13:09:28.693841
False,20.0,10.0,2022-12-21 13:14:28.689830
False,20.0,10.0,2022-12-21 13:19:28.691156
False,20.0,10.0,2022-12-21 13:24:28.697915
False,23.5,10.0,2022-12-21 17:47:16.528969
False,23.0,10.0,2022-12-21 16:55:10.131009
False,23.0,10.0,2022-12-21 16:56:10.032011
False,23.0,10.0,2022-12-21 16:57:10.039025
False,22.5,10.0,2022-12-21 17:50:47.750508
